FID,OBJECTID,AREA,PERIMETER,NEWDIO_,NEWDIO_ID,ID,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
1,1,19.6127027079,35.3870861145,2,0,0,35.1149459652,19.2881507006,392805732289.971,4702134.02234986
2,2,0.08067030705,1.21222803791,3,0,0,1.21222803791,0.08067030705,1710251410.06445,179354.579993412
3,3,0.00640809500008,0.311314093944,4,0,0,0.311314093944,0.00640809500008,134264173.165375,44198.9981432393
4,4,0.0925481507499,1.28168662199,5,0,0,1.28168662199,0.0925481507499,1918711437.94116,176288.3588004
5,5,0.00556248525003,0.31291474858,6,0,0,0.31291474858,0.00556248525003,113729618.372192,44474.0297847021
6,6,0.00994335925015,0.433094251237,7,0,0,0.433104693597,0.00994368419984,203052804.664185,69477.7397393092
7,7,45.4115012015,47.7320286802,8,0,0,48.0539774247,49.5340669208,930842613856.218,6347770.42237864
8,9,0.00505875081134,0.320882779744,10,0,0,0.320888910342,0.00505887745012,101496136.524658,49926.0240500432
9,10,0.00209754279636,0.214419726004,11,0,0,0.214422553416,0.00209756599996,41677628.1155396,29983.0627859846
10,11,0.00353238564472,0.301945342242,12,0,0,0.301960001484,0.00353268244993,69603459.8619995,40239.560344301
11,12,0.0565766055498,1.03124216661,13,0,0,1.03124216661,0.0565766055498,1106761085.23138,132185.548405538
12,13,0.0132260590001,0.499549597667,14,0,0,0.499549597667,0.0132260590001,250898991.36792,64998.1831865799
13,14,35.3925700824,52.8229914999,15,0,0,52.7931748911,37.4330138292,652508574637.353,6849117.18047602
14,15,27.1777954172,28.2101047697,16,0,0,28.2101285276,27.1777964156,483505340376.402,3671158.67527938
15,16,0.0166336677847,0.55563852397,17,0,0,0.555635420293,0.01663393055,309951664.407227,69575.3903736462
16,17,0.0128294827373,0.475603958456,18,0,0,0.475596570974,0.0128292569,238868112.768066,67538.1500743022
17,18,30.3514726552,31.4401216261,19,0,0,31.4401207897,30.3514726256,531665588629.096,4036104.12697948
18,19,0.0051161874794,0.28835666947,20,0,0,0.288357953034,0.00511625709986,93565101.644165,37911.0245881503
19,20,0.0147022770501,0.533386854339,21,0,0,0.533386854339,0.0147022770501,261995782.230103,73868.1200660168
20,21,14.8622074487,25.1226096646,22,0,0,25.1226083719,14.8622074482,250287437561.798,3183059.46929213
21,22,0.0461155372757,0.98529901891,23,0,0,0.985291278742,0.0461146818,809344488.55957,132679.256321291
22,23,0.00736428521128,0.398780424057,24,0,0,0.398775022673,0.00736419039993,129297675.977539,56573.7440395628
23,24,0.0411435979388,1.03522286173,25,0,0,1.03522650257,0.0411436662,718634786.337891,149049.226973692
24,25,0.00377491755357,0.254154114252,26,0,0,0.254155940891,0.00377493359998,65933863.6884766,33827.8857785189
25,26,25.4030171763,44.308631838,27,0,0,44.3086384861,25.4030178682,419320973406.782,5609662.31748876
26,27,0.00774679234999,0.39867570668,28,0,0,0.39867570668,0.00774679234999,134820789.19043,50454.7739004323
27,28,0.00538266097576,0.334164050441,29,0,0,0.334160530476,0.00538256630014,93577002.4599609,43969.4354130346
28,29,0.00218136845,0.215911366043,30,0,0,0.215911366043,0.00218136845,37910009.0068359,29436.1263394192
29,30,0.0196858789844,0.631912685174,31,0,0,0.631910871606,0.0196859160501,341455087.126953,83168.4995409497
30,31,0.00715641106245,0.372272142772,32,0,0,0.372266002228,0.00715627995001,123994417.796875,50413.9390430987
31,32,0.00453482113506,0.303836144956,33,0,0,0.303841506166,0.00453490950005,77915703.5859375,38889.7242311988
32,33,62.0303475876,42.0528454648,34,0,0,42.0528620702,62.03034818,1009403956966.71,5197083.7211771
33,34,0.0496738607605,1.11375741479,35,0,0,1.11376036984,0.0496742621004,846459719.305664,135886.896775125
34,35,0.0669673656011,1.45045139119,36,0,0,1.45045378468,0.0669669570999,1139218105.97852,176630.630773588
35,36,0.0119631910311,0.459669319195,37,0,0,0.459667496379,0.0119632332001,203381588.540039,59170.7680964958
36,37,0.00589462110006,0.319889042073,38,0,0,0.319889042073,0.00589462110006,99959119.3105469,39794.2727910556
37,38,0.00969986393187,0.394828781367,39,0,0,0.394829357,0.00969990720004,164290554.966797,49498.368616198
38,39,0.969010797026,4.84264217258,40,0,0,4.84264247342,0.9690106891,16199503854.186,653725.241196155
39,40,0.00863378240009,0.393354192789,41,0,0,0.393354192789,0.00863378240009,146194446.408203,49124.9672332478
40,41,0.019315575709,0.684964048902,42,0,0,0.684971478442,0.0193156990999,326122317.036621,84090.15452862
41,42,0.00514599648914,0.292176703092,43,0,0,0.292175573391,0.00514595729999,86438777.5175781,38453.1059645451
42,43,0.00228808034402,0.224716075951,44,0,0,0.224723904292,0.0022882914,38400214.9931641,28575.2607283264
